Lar1
t	x	v_{x}
0.000	-360.2	
0.033	-359.9	14.77
0.067	-359.2	105.1
0.100	-352.9	93.63
0.133	-353.0	106.2
0.166	-345.8	103.6
0.200	-346.1	5.978
0.233	-345.4	28.81
0.266	-344.2	107.3
0.299	-338.3	87.28
0.333	-338.4	18.20
0.366	-337.1	65.05
0.399	-334.1	65.18
0.432	-332.7	36.29
0.466	-331.7	31.51
0.500	-330.6	28.47
0.532	-329.8	30.55
0.566	-328.6	19.67
0.599	-328.5	244.3
0.632	-312.4	248.8
0.665	-312.0	7.651
0.699	-311.9	-1.643
0.732	-312.1	-3.850
0.765	-312.1	2.787
0.798	-311.9	37.19
0.832	-309.6	47.31
0.865	-308.7	12.86
0.898	-308.8	66.38
0.931	-304.3	66.94
0.965	-304.3	1.893
0.998	-304.2	105.8
1.031	-297.3	110.6
1.064	-296.8	88.66
1.098	-291.4	89.19
1.131	-290.9	15.94
1.164	-290.3	24.09
1.198	-289.3	32.43
1.231	-288.2	63.72
1.264	-285.0	63.25
1.297	-284.0	53.31
1.331	-281.5	52.67
1.364	-280.5	44.67
1.397	-278.5	47.73
1.430	-277.3	198.9
1.464	-265.3	186.6
1.497	-264.9	15.86
1.530	-264.2	29.60
1.563	-262.9	34.71
1.597	-261.9	45.14
1.630	-259.9	51.07
1.663	-258.5	84.61
1.696	-254.3	83.42
1.730	-253.0	45.93
1.763	-251.2	54.64
1.796	-249.4	50.49
1.830	-247.8	88.94
1.863	-243.4	220.1
1.896	-233.2	143.9
1.929	-233.9	3.435
1.963	-233.0	39.14
1.996	-231.3	30.51
2.029	-230.9	51.23
2.062	-227.9	64.39
2.096	-226.7	106.4
2.129	-220.8	112.2
2.162	-219.2	40.39
2.195	-218.1	42.13
2.229	-216.4	71.10
2.262	-213.4	77.11
2.295	-211.3	53.98
2.329	-209.8	38.93
2.362	-208.7	57.20
2.395	-206.0	61.79
2.428	-204.6	74.80
2.462	-201.0	77.01
2.495	-199.4	47.60
2.528	-197.8	51.96
2.561	-196.0	99.50
2.595	-191.2	103.8
2.628	-189.1	59.80
2.661	-187.2	57.36
2.694	-185.3	54.17
2.728	-183.6	45.22
2.761	-182.3	52.63
2.794	-180.1	90.18
2.827	-176.3	104.2
2.861	-173.2	74.10
2.894	-171.3	103.3
2.927	-166.3	105.0
2.960	-164.3	55.27
2.994	-162.6	46.96
3.027	-161.2	51.55
3.060	-159.2	50.60
3.094	-157.9	48.73
3.127	-156.0	40.36
3.160	-155.2	31.01
3.193	-153.9	71.88
3.227	-150.4	81.32
3.260	-148.5	54.22
3.293	-146.8	103.6
3.326	-141.6	86.98
3.360	-141.0	23.14
3.393	-140.1	61.19
3.426	-136.9	88.25
3.459	-134.2	61.45
3.493	-132.8	108.9
3.526	-126.9	90.84
3.559	-126.8	13.88
3.593	-126.0	39.21
3.626	-124.2	61.37
3.659	-121.9	61.04
3.692	-120.1	84.77
3.726	-116.3	84.43
3.759	-114.5	49.81
3.792	-113.0	61.65
3.825	-110.4	71.57
3.859	-108.2	60.41
3.892	-106.4	60.69
3.925	-104.2	64.30
3.958	-102.1	61.04
3.992	-100.1	60.11
4.025	-98.11	65.15
4.058	-95.79	61.44
4.091	-94.02	58.52
4.125	-91.89	69.11
4.158	-89.42	63.20
4.191	-87.69	51.61
4.225	-85.98	69.30
4.258	-83.08	73.99
4.291	-81.07	73.58
4.324	-78.18	119.5
4.358	-73.09	105.6
4.391	-71.16	60.42
4.424	-69.08	57.87
4.457	-67.31	48.91
4.491	-65.83	54.65
4.524	-63.66	60.52
4.557	-61.80	52.96
4.590	-60.15	57.71
4.624	-57.96	59.87
4.657	-56.16	59.57
4.690	-54.00	62.52
4.723	-52.00	68.13
4.757	-49.47	79.00
4.790	-46.75	64.85
4.823	-45.15	53.04
4.857	-43.22	61.87
4.890	-41.04	59.16
4.923	-39.28	58.05
4.956	-37.17	64.78
4.990	-34.97	70.42
5.023	-32.49	71.42
5.056	-30.22	64.15
