med4
t	x	v_{x}
7.584	-120.4	43.13
7.618	-119.1	35.85
7.651	-118.0	51.37
7.684	-115.7	62.47
7.717	-113.9	41.09
7.750	-112.9	40.85
7.784	-111.1	53.28
7.817	-109.4	45.45
7.850	-108.1	38.55
7.884	-106.8	34.67
7.917	-105.8	38.51
7.950	-104.2	49.88
7.983	-102.5	46.83
8.016	-101.1	40.83
8.050	-99.78	40.27
8.083	-98.46	36.60
8.116	-97.35	36.46
8.150	-96.03	45.50
8.183	-94.32	47.60
8.216	-92.87	45.52
8.249	-91.29	45.16
8.283	-89.86	51.18
8.316	-87.89	43.12
8.349	-87.00	35.42
8.383	-85.53	41.95
8.416	-84.20	42.73
8.449	-82.69	43.51
8.482	-81.31	45.37
8.516	-79.67	47.99
8.549	-78.11	52.82
8.582	-76.16	85.66
8.615	-72.42	61.89
8.649	-72.04	17.33
8.682	-71.27	34.54
8.715	-69.74	30.60
8.748	-69.23	25.83
8.782	-68.02	43.03
8.815	-66.37	41.89
8.848	-65.24	39.99
8.881	-63.72	42.14
8.915	-62.43	39.89
8.948	-61.05	37.39
8.981	-59.94	35.76
9.014	-58.68	39.09
9.048	-57.35	39.27
9.081	-56.06	51.65
9.114	-53.91	57.51
9.148	-52.23	50.95
9.181	-50.52	62.53
9.214	-48.08	54.15
9.247	-46.91	31.37
9.281	-45.99	30.56
9.314	-44.88	32.40
9.347	-43.84	43.72
9.380	-41.97	53.56
9.414	-40.28	49.30
9.447	-38.69	47.58
9.480	-37.11	45.87
9.514	-35.63	40.97
9.547	-34.38	32.64
9.580	-33.47	39.36
9.613	-31.76	40.69
9.646	-30.76	29.01
9.680	-29.84	32.11
9.713	-28.62	39.90
9.746	-27.18	38.26
9.780	-26.07	33.38
9.813	-24.96	33.19
9.846	-23.87	39.08
9.879	-22.36	56.99
9.913	-20.08	56.52
9.946	-18.60	48.14
9.979	-16.88	38.86
