med4
t	x	v_{x}
0.000	-424.2	
0.033	-424.2	1.142
0.067	-424.2	0.609
0.100	-424.2	-1.548
0.133	-424.3	3.021
0.166	-424.0	-0.145
0.200	-424.3	0.726
0.233	-423.9	9.463
0.266	-423.6	6.515
0.299	-423.5	8.767
0.333	-423.1	7.726
0.366	-423.0	155.2
0.399	-412.7	152.2
0.432	-412.9	8.774
0.466	-412.1	16.20
0.499	-411.8	7.308
0.532	-411.7	0.876
0.566	-411.7	14.70
0.599	-410.7	18.87
0.632	-410.5	11.88
0.665	-409.9	19.71
0.699	-409.2	19.50
0.732	-408.6	16.12
0.765	-408.1	23.20
0.798	-407.0	27.75
0.832	-406.2	17.79
0.865	-405.9	15.25
0.898	-405.2	13.86
0.931	-404.9	12.48
0.965	-404.4	30.45
0.998	-402.9	37.94
1.031	-401.9	38.46
1.064	-400.4	80.23
1.098	-396.5	65.34
1.131	-396.0	15.56
1.164	-395.5	28.44
1.197	-394.1	30.43
1.231	-393.5	14.16
1.264	-393.2	209.6
1.297	-379.6	207.3
1.331	-379.4	3.140
1.364	-379.3	-2.050
1.397	-379.5	0.481
1.430	-379.3	6.205
1.464	-379.1	5.335
1.497	-379.0	30.63
1.530	-377.1	37.71
1.563	-376.4	19.32
1.597	-375.8	32.60
1.630	-374.3	28.19
1.663	-373.9	29.96
1.696	-372.3	38.62
1.730	-371.3	34.62
1.763	-370.0	28.60
1.796	-369.4	13.70
1.830	-369.1	32.14
1.863	-367.3	44.64
1.896	-366.1	83.90
1.929	-361.7	73.34
1.963	-361.2	17.36
1.996	-360.6	41.63
2.029	-358.5	52.10
2.062	-357.1	38.38
2.096	-355.9	72.34
2.129	-352.3	60.78
2.162	-351.9	12.45
2.195	-351.5	23.33
2.229	-350.3	19.68
2.262	-350.1	29.21
2.295	-348.4	26.76
2.328	-348.4	10.67
2.362	-347.7	61.67
2.395	-344.2	68.52
2.428	-343.1	100.3
2.462	-337.6	88.85
2.495	-337.2	14.15
2.528	-336.6	10.87
2.561	-336.5	8.015
2.595	-336.1	133.8
2.628	-327.5	135.1
2.661	-327.1	11.28
2.694	-326.8	24.27
2.728	-325.5	35.41
2.761	-324.4	35.48
2.794	-323.1	33.05
2.828	-322.2	20.09
2.861	-321.8	29.21
2.894	-320.3	48.72
2.927	-318.6	32.65
2.960	-318.1	22.28
2.994	-317.1	15.70
3.027	-317.1	8.668
3.060	-316.5	40.50
3.094	-314.4	57.40
3.127	-312.7	57.98
3.160	-310.5	53.69
3.193	-309.1	38.37
3.227	-308.0	48.20
3.260	-305.9	43.21
3.293	-305.1	33.02
3.326	-303.7	26.29
3.360	-303.3	14.48
3.393	-302.7	23.31
3.426	-301.8	26.45
3.459	-301.0	127.3
3.493	-293.4	145.8
3.526	-291.3	38.23
3.560	-290.8	49.15
3.592	-288.0	44.05
3.626	-287.9	15.89
3.659	-287.0	15.28
3.692	-286.9	26.12
3.726	-285.2	40.76
3.759	-284.1	46.65
3.792	-282.1	55.97
3.825	-280.4	46.39
3.859	-279.0	22.32
3.892	-278.9	12.51
3.925	-278.2	31.70
3.958	-276.8	44.27
3.992	-275.3	44.17
4.025	-273.9	36.10
4.058	-272.9	23.02
4.092	-272.4	27.43
4.125	-271.0	29.81
4.158	-270.4	29.42
4.191	-269.1	202.0
4.225	-256.9	185.9
4.258	-256.7	5.899
4.291	-256.5	8.746
4.324	-256.2	10.25
4.358	-255.9	11.72
4.391	-255.4	14.62
4.424	-254.9	18.10
4.457	-254.2	246.0
4.491	-238.6	236.8
4.524	-238.4	8.862
4.557	-238.0	2.917
4.591	-238.2	-1.661
4.624	-238.1	0.330
4.657	-238.2	-1.253
4.690	-238.2	1.803
4.723	-238.1	5.587
4.757	-237.9	3.471
4.790	-237.9	4.943
4.823	-237.5	12.63
4.856	-237.0	16.81
4.890	-236.4	21.70
4.923	-235.6	50.49
4.956	-233.0	50.67
4.990	-232.2	21.99
5.023	-231.6	31.89
5.056	-230.1	49.93
5.089	-228.3	47.14
5.123	-227.0	36.92
5.156	-225.8	39.44
5.189	-224.3	43.45
5.222	-222.9	42.31
5.256	-221.5	41.95
5.289	-220.1	50.26
5.322	-218.2	49.22
5.355	-216.8	33.97
5.389	-215.9	43.15
5.422	-214.0	45.18
5.455	-212.9	30.56
5.489	-211.9	30.83
5.522	-210.9	34.86
5.555	-209.6	45.56
5.588	-207.8	58.28
5.622	-205.7	55.89
5.655	-204.1	42.19
5.688	-202.9	39.30
5.721	-201.5	44.47
5.755	-200.0	39.99
5.788	-198.8	39.72
5.821	-197.3	45.73
5.854	-195.8	37.94
5.888	-194.8	37.63
5.921	-193.3	47.20
5.954	-191.7	51.17
5.987	-189.9	56.87
6.021	-187.9	50.75
6.054	-186.5	36.02
6.087	-185.5	39.34
6.121	-183.9	46.55
6.154	-182.4	43.61
6.187	-181.0	48.61
6.220	-179.2	43.60
6.254	-178.1	36.57
6.287	-176.7	41.30
6.320	-175.3	38.35
6.353	-174.2	42.19
6.387	-172.5	58.30
6.420	-170.3	47.02
6.453	-169.4	35.71
6.486	-167.9	43.56
6.520	-166.5	44.04
6.553	-165.0	47.70
6.587	-163.3	42.21
6.620	-162.2	38.61
6.653	-160.8	45.79
6.686	-159.1	49.62
6.719	-157.5	38.62
6.753	-156.6	32.74
6.786	-155.3	43.66
6.820	-153.6	34.82
6.852	-153.0	36.30
6.886	-151.3	76.22
6.919	-147.9	60.28
6.952	-147.2	37.08
6.985	-145.4	37.08
7.019	-144.8	20.95
7.052	-144.0	49.35
7.085	-141.5	55.39
7.118	-140.3	44.70
7.152	-138.5	47.27
7.185	-137.2	44.26
7.218	-135.6	48.91
7.251	-134.0	49.26
7.285	-132.3	42.56
7.318	-131.1	35.70
7.351	-129.9	32.46
7.385	-129.0	39.44
7.418	-127.3	45.86
7.451	-125.9	44.10
7.484	-124.4	39.32
7.518	-123.3	36.40
7.551	-121.9	43.41
