Lar4
t	x	v_{x}
0.000	-360.2	
0.033	-359.5	16.91
0.066	-359.1	110.3
0.100	-352.2	119.6
0.133	-351.1	36.08
0.166	-349.8	39.96
0.200	-348.5	42.09
0.233	-347.0	44.31
0.266	-345.5	37.34
0.300	-344.5	52.50
0.333	-342.0	117.0
0.366	-336.7	97.64
0.399	-335.5	47.56
0.432	-333.6	45.30
0.466	-332.5	20.12
0.499	-332.2	34.26
0.532	-330.2	43.17
0.566	-329.4	16.85
0.599	-329.1	13.03
0.632	-328.5	14.01
0.666	-328.2	232.9
0.699	-313.0	233.0
0.732	-312.7	8.440
0.765	-312.4	13.50
0.798	-311.9	44.39
0.832	-309.5	41.42
0.865	-309.1	27.38
0.898	-307.7	40.90
0.931	-306.4	27.45
0.965	-305.8	19.89
0.998	-305.1	213.0
1.031	-291.7	207.5
1.065	-291.2	9.894
1.098	-291.0	3.472
1.131	-291.0	1.323
1.164	-290.9	48.44
1.198	-287.7	66.94
1.231	-286.5	22.77
1.264	-286.2	13.74
1.297	-285.6	78.87
1.331	-281.0	186.5
1.364	-273.1	118.0
1.397	-273.1	13.60
1.431	-272.2	22.18
1.464	-271.7	14.32
1.497	-271.3	19.54
1.530	-270.4	174.6
1.563	-259.7	165.2
1.597	-259.4	65.76
1.630	-255.3	71.80
1.663	-254.6	16.60
1.696	-254.2	16.70
1.730	-253.5	22.60
1.763	-252.7	26.50
1.796	-251.7	27.31
1.830	-250.9	266.6
1.863	-234.0	255.0
1.896	-233.9	14.25
1.929	-233.1	12.47
1.963	-233.0	2.833
1.996	-232.9	23.02
2.029	-231.5	27.09
2.062	-231.1	22.15
2.096	-230.0	42.37
2.129	-228.2	54.40
2.162	-226.4	33.28
2.195	-226.0	32.90
2.229	-224.2	68.84
2.262	-221.5	75.66
2.295	-219.2	65.83
2.329	-217.1	62.02
2.362	-215.1	62.48
2.395	-212.9	52.66
2.428	-211.6	53.12
2.462	-209.4	55.31
2.495	-207.9	134.7
2.528	-200.4	97.45
2.561	-201.4	13.05
2.595	-199.5	71.75
2.628	-196.6	74.64
2.661	-194.6	151.2
2.694	-186.6	143.4
2.728	-185.0	28.90
2.761	-184.7	27.68
2.794	-183.2	38.17
2.827	-182.1	28.59
2.861	-181.3	40.35
2.894	-179.5	32.43
2.927	-179.1	156.5
2.961	-169.0	162.7
2.994	-168.3	18.17
3.027	-167.8	33.46
3.061	-166.1	66.06
3.094	-163.4	62.66
3.127	-161.9	64.55
3.160	-159.1	116.3
3.193	-154.2	132.6
3.227	-150.3	64.86
3.260	-149.9	19.73
3.293	-149.0	33.47
3.326	-147.6	40.60
3.360	-146.3	40.23
3.393	-145.0	136.6
3.426	-137.2	132.7
3.459	-136.1	21.34
3.493	-135.8	52.61
3.526	-132.6	67.20
3.559	-131.3	73.53
3.593	-127.7	91.08
3.626	-125.2	66.95
3.659	-123.3	56.52
3.692	-121.5	89.56
3.726	-117.3	69.63
3.759	-116.8	30.27
3.792	-115.3	52.03
3.825	-113.4	58.65
3.859	-111.4	38.21
3.892	-110.8	51.27
3.925	-108.0	112.4
3.958	-103.4	98.97
3.992	-101.4	58.51
4.025	-99.46	47.37
4.058	-98.23	88.76
4.091	-93.57	86.80
4.125	-92.45	39.02
4.158	-90.96	48.88
4.191	-89.20	75.78
4.225	-85.95	75.07
4.258	-84.20	55.70
4.291	-82.23	58.55
