Lar2
t	x	v_{x}
0.000	-343.8	
0.033	-343.6	23.55
0.067	-342.2	72.19
0.100	-338.8	81.02
0.133	-336.8	80.36
0.166	-333.5	113.9
0.200	-329.2	97.10
0.233	-327.0	38.07
0.266	-326.7	3.270
0.299	-326.8	20.20
0.333	-325.4	19.61
0.366	-325.5	182.7
0.399	-313.2	186.9
0.432	-313.0	22.92
0.466	-311.7	21.45
0.499	-311.6	135.6
0.532	-302.7	138.0
0.566	-302.4	1.900
0.599	-302.5	16.65
0.632	-301.3	27.27
0.665	-300.7	67.91
0.699	-296.8	72.66
0.732	-295.9	32.24
0.765	-294.7	31.04
0.798	-293.8	-27.50
0.832	-296.5	-19.85
0.865	-295.1	42.60
0.898	-293.7	60.75
0.931	-291.1	54.89
0.965	-290.0	129.2
0.998	-282.5	201.1
1.031	-276.6	91.14
1.065	-276.4	19.17
1.098	-275.4	28.61
1.131	-274.5	82.34
1.164	-269.9	84.19
1.198	-268.9	25.02
1.231	-268.2	19.45
1.264	-267.6	61.95
1.297	-264.1	63.92
1.331	-263.4	24.62
1.364	-262.5	37.95
1.397	-260.9	56.58
1.430	-258.7	243.3
1.464	-244.7	214.1
1.497	-244.5	5.690
1.530	-244.3	9.774
1.564	-243.8	247.3
1.597	-227.8	244.4
1.630	-227.6	3.748
1.663	-227.6	-11.18
1.696	-228.3	-18.25
1.730	-228.8	23.29
1.763	-226.8	40.64
1.796	-226.1	32.91
1.830	-224.6	49.20
1.863	-222.8	34.36
1.896	-222.3	14.10
1.929	-221.9	140.5
1.963	-213.0	138.5
1.996	-212.6	7.343
2.029	-212.5	5.568
2.062	-212.3	29.59
2.096	-210.5	46.92
2.129	-209.2	46.64
2.162	-207.4	49.52
2.195	-205.9	58.80
2.229	-203.5	68.00
2.262	-201.3	58.75
2.295	-199.6	63.45
2.328	-197.1	64.05
2.362	-195.3	61.36
2.395	-193.0	60.85
2.428	-191.3	60.34
2.462	-189.0	64.49
2.495	-187.0	72.11
2.528	-184.2	70.19
2.561	-182.3	64.58
2.595	-179.9	69.19
2.628	-177.7	68.32
2.661	-175.4	68.41
2.694	-173.2	55.11
2.728	-171.7	114.2
2.761	-165.6	106.4
2.794	-164.6	43.84
2.827	-162.7	131.8
2.861	-155.9	113.1
2.894	-155.1	48.15
2.927	-152.7	57.18
2.960	-151.3	53.37
2.994	-149.1	53.13
3.027	-147.8	46.48
3.060	-146.0	52.79
3.094	-144.3	46.94
3.127	-142.9	51.67
3.160	-140.8	53.96
3.193	-139.3	50.42
3.227	-137.5	68.06
3.260	-134.8	71.13
3.293	-132.8	88.52
3.326	-128.9	83.90
3.360	-127.2	65.16
3.393	-124.5	106.4
3.426	-120.1	85.84
3.459	-118.8	71.47
3.493	-115.3	52.09
3.526	-115.4	27.59
3.559	-113.5	58.75
3.592	-111.5	74.28
3.626	-108.6	76.96
3.659	-106.3	47.55
3.692	-105.4	36.58
3.726	-103.9	54.42
3.759	-101.8	74.35
3.792	-98.96	98.31
3.825	-95.24	85.67
3.859	-93.26	60.20
3.892	-91.24	70.68
3.925	-88.56	50.62
3.958	-87.87	49.81
3.992	-85.25	117.6
4.025	-80.05	96.85
4.058	-78.81	26.07
4.091	-78.32	34.35
