small2
t	x	v_{x}
0.000	-340.1	
0.033	-339.8	8.827
0.067	-339.5	13.34
0.100	-338.9	19.69
0.133	-338.2	22.89
0.166	-337.4	23.19
0.200	-336.7	10.71
0.233	-336.7	8.438
0.266	-336.1	14.59
0.299	-335.7	16.83
0.333	-335.0	23.42
0.366	-334.2	19.79
0.399	-333.7	20.66
0.432	-332.8	24.63
0.466	-332.0	23.89
0.499	-331.2	20.75
0.532	-330.7	9.006
0.565	-330.6	14.26
0.599	-329.7	24.41
0.632	-329.0	15.39
0.665	-328.7	15.71
0.699	-327.9	21.29
0.732	-327.3	17.23
0.765	-326.8	18.17
0.798	-326.1	20.95
0.832	-325.4	20.55
0.865	-324.7	21.20
0.898	-324.0	21.91
0.932	-323.2	25.43
0.965	-322.3	21.43
0.998	-321.8	19.16
1.031	-321.0	22.91
1.064	-320.3	21.03
1.098	-319.6	20.40
1.131	-318.9	22.76
1.164	-318.1	24.43
1.197	-317.3	18.78
1.231	-316.9	9.284
1.264	-316.7	13.49
1.297	-316.0	23.08
1.331	-315.2	18.00
1.364	-314.8	34.61
1.397	-312.9	31.00
1.430	-312.7	11.89
1.463	-312.1	15.34
1.497	-311.7	17.28
1.530	-310.9	66.09
1.563	-307.3	59.59
1.597	-306.9	21.21
1.630	-305.9	16.28
1.663	-305.9	0.230
1.697	-305.9	2.182
1.730	-305.7	3.546
1.763	-305.6	10.17
1.796	-305.0	12.97
1.830	-304.8	17.42
1.863	-303.9	24.17
1.896	-303.2	16.72
1.929	-302.8	20.55
1.963	-301.8	27.79
1.996	-300.9	26.29
2.029	-300.0	16.80
2.062	-299.8	19.52
2.096	-298.8	33.37
2.129	-297.6	34.30
2.162	-296.5	24.81
2.195	-295.9	13.77
2.229	-295.6	14.39
2.262	-295.0	20.07
2.295	-294.2	24.75
2.328	-293.3	22.29
2.362	-292.7	14.48
2.395	-292.4	11.52
2.428	-292.0	16.29
2.462	-291.3	17.14
2.495	-290.8	19.63
2.528	-290.0	19.93
2.561	-289.5	16.52
2.595	-288.9	20.02
2.628	-288.2	17.22
2.661	-287.7	18.45
2.694	-286.9	21.59
2.728	-286.3	16.63
2.761	-285.8	18.14
2.794	-285.1	18.01
2.827	-284.6	17.03
2.861	-284.0	21.05
2.894	-283.2	19.43
2.927	-282.7	18.20
2.960	-282.0	20.99
2.994	-281.3	19.26
3.027	-280.7	18.56
3.060	-280.0	23.31
3.094	-279.2	18.97
3.127	-278.8	17.90
3.160	-278.0	27.38
3.193	-277.0	33.52
3.227	-275.8	28.91
3.260	-275.0	13.82
3.293	-274.9	14.75
3.326	-274.0	23.28
3.360	-273.3	18.32
3.393	-272.8	18.87
3.426	-272.1	27.40
3.459	-271.0	17.78
3.493	-270.9	15.55
3.526	-270.0	27.78
3.559	-269.0	17.89
3.592	-268.8	15.52
3.626	-268.0	27.43
3.659	-267.0	17.34
3.693	-266.8	15.11
3.726	-265.9	27.92
3.759	-265.0	26.64
3.792	-264.2	15.82
3.825	-263.9	17.91
3.859	-263.0	28.15
3.892	-262.1	27.06
3.925	-261.2	19.37
3.958	-260.8	18.07
3.992	-260.0	22.11
4.025	-259.3	17.80
4.058	-258.8	19.39
4.091	-258.0	16.90
4.125	-257.7	15.15
4.158	-257.0	20.76
4.191	-256.3	19.61
4.224	-255.7	20.85
4.258	-254.9	20.80
4.291	-254.3	17.16
4.324	-253.8	19.44
4.357	-253.0	18.66
4.391	-252.5	19.45
4.424	-251.7	23.87
4.457	-250.9	24.35
4.490	-250.1	20.81
4.524	-249.5	17.95
4.557	-248.9	22.47
4.590	-248.1	23.01
4.624	-247.4	20.29
4.657	-246.7	23.27
4.690	-245.8	25.96
4.724	-245.0	24.13
4.757	-244.2	21.84
4.790	-243.5	20.41
4.823	-242.9	20.57
4.856	-242.2	15.30
4.890	-241.8	15.15
4.923	-241.1	16.48
4.956	-240.7	15.89
4.990	-240.1	18.36
5.023	-239.5	18.22
5.056	-238.9	21.46
5.089	-238.1	15.81
5.123	-237.8	15.37
5.156	-237.1	19.47
5.189	-236.5	19.46
5.222	-235.8	18.83
5.256	-235.3	13.78
5.289	-234.9	15.74
5.322	-234.2	21.36
5.355	-233.4	21.31
5.389	-232.8	20.34
5.422	-232.1	23.89
5.455	-231.2	27.93
5.489	-230.2	27.82
5.522	-229.4	23.29
5.555	-228.7	18.29
5.588	-228.2	15.91
5.622	-227.6	18.16
5.655	-226.9	17.78
5.688	-226.4	15.98
5.721	-225.9	18.83
5.755	-225.2	20.31
5.788	-224.5	20.71
5.821	-223.8	19.23
5.854	-223.3	15.43
5.888	-222.8	16.11
5.921	-222.2	17.71
5.954	-221.6	18.43
5.988	-221.0	20.46
6.021	-220.2	21.89
6.054	-219.5	23.20
6.087	-218.7	21.49
6.120	-218.1	22.47
6.154	-217.2	24.67
6.187	-216.4	19.00
6.220	-215.9	19.71
6.254	-215.1	23.98
6.287	-214.3	18.42
6.320	-213.9	18.92
6.353	-213.1	25.07
6.387	-212.2	17.62
6.420	-211.9	16.79
6.453	-211.1	26.35
6.486	-210.2	27.13
6.520	-209.3	17.68
