small3
t	x	v_{x}
8.150	-194.7	24.74
8.183	-193.9	17.96
8.216	-193.5	18.79
8.249	-192.6	23.07
8.283	-191.9	17.59
8.316	-191.4	20.32
8.349	-190.6	28.27
8.382	-189.6	18.80
8.416	-189.3	14.31
8.449	-188.6	22.14
8.482	-187.9	17.06
8.516	-187.5	18.43
8.549	-186.6	26.52
8.582	-185.7	24.88
8.615	-185.0	19.84
8.649	-184.4	21.00
8.682	-183.6	22.46
8.715	-182.9	18.05
8.748	-182.4	20.40
8.782	-181.6	26.36
8.815	-180.6	25.82
8.848	-179.8	18.05
8.881	-179.4	18.96
8.915	-178.6	25.44
8.948	-177.7	14.56
8.981	-177.6	18.77
9.014	-176.5	27.43
9.048	-175.8	24.83
9.081	-174.8	32.45
9.114	-173.6	25.73
9.147	-173.1	12.85
9.181	-172.8	10.08
9.214	-172.5	16.83
9.247	-171.6	27.66
9.280	-170.6	25.83
9.314	-169.9	16.05
9.347	-169.5	16.77
9.380	-168.8	24.41
9.414	-167.9	20.94
9.447	-167.4	17.60
9.480	-166.8	14.91
9.513	-166.4	15.79
9.547	-165.7	23.92
9.580	-164.8	14.48
9.613	-164.7	19.10
9.646	-163.6	30.53
9.680	-162.7	13.29
9.713	-162.7	12.81
9.746	-161.9	23.34
9.780	-161.1	23.88
9.813	-160.3	22.19
9.846	-159.6	21.98
9.879	-158.8	14.55
9.913	-158.7	12.00
9.946	-158.0	17.46
9.979	-157.5	20.64
10.012	-156.6	29.41
10.046	-155.6	29.67
10.079	-154.7	25.44
10.112	-153.9	17.94
10.145	-153.5	18.43
10.179	-152.6	15.66
10.212	-152.4	16.46
10.245	-151.5	28.09
10.279	-150.6	19.44
10.312	-150.2	15.88
10.345	-149.5	23.89
10.378	-148.7	22.44
10.412	-148.0	18.45
10.445	-147.4	20.78
10.478	-146.6	25.75
10.511	-145.7	37.09
10.545	-144.2	32.67
10.578	-143.5	11.53
10.611	-143.4	12.31
10.644	-142.7	22.86
10.678	-141.9	20.10
10.711	-141.4	18.60
10.744	-140.6	24.34
10.778	-139.8	27.42
10.811	-138.8	27.08
10.844	-138.0	23.94
10.877	-137.2	21.14
10.910	-136.6	20.91
10.944	-135.8	18.14
10.977	-135.4	15.18
11.010	-134.8	15.05
11.044	-134.4	15.76
11.077	-133.8	9.853
11.110	-133.7	12.06
11.143	-133.0	15.19
11.177	-132.7	81.72
11.210	-127.5	84.43
11.243	-127.1	14.84
11.276	-126.5	16.07
11.310	-126.0	13.17
11.343	-125.7	12.80
11.376	-125.2	16.81
11.409	-124.5	18.14
11.443	-124.0	16.03
11.476	-123.5	17.42
11.509	-122.8	19.74
11.542	-122.2	18.63
11.576	-121.6	20.28
11.609	-120.8	20.91
11.642	-120.2	16.98
11.676	-119.7	18.19
11.709	-118.9	19.41
11.742	-118.4	17.47
11.775	-117.8	19.86
11.809	-117.1	18.26
11.842	-116.6	18.84
11.875	-115.8	17.69
11.908	-115.4	16.42
11.942	-114.7	22.42
11.975	-113.9	18.42
12.008	-113.5	17.96
12.041	-112.7	22.25
12.075	-112.0	17.62
12.108	-111.5	19.50
12.141	-110.7	22.65
12.174	-110.0	18.73
12.208	-109.5	19.11
12.241	-108.8	18.29
12.274	-108.3	17.31
12.308	-107.6	22.06
12.341	-106.8	21.10
12.374	-106.2	16.80
12.407	-105.7	18.26
12.441	-105.0	15.82
12.474	-104.6	18.14
12.507	-103.8	26.01
12.540	-102.9	18.51
12.574	-102.5	17.22
12.607	-101.7	19.53
12.640	-101.2	18.01
12.674	-100.6	22.43
12.707	-99.76	13.96
12.740	-99.62	14.23
12.773	-98.81	17.37
12.807	-98.47	16.99
12.840	-97.68	29.39
12.873	-96.51	28.13
12.906	-95.81	16.82
12.940	-95.39	16.70
12.973	-94.70	22.15
13.006	-93.92	18.46
13.039	-93.47	18.78
13.073	-92.67	23.64
13.106	-91.90	32.13
13.139	-90.53	18.85
13.172	-90.64	14.29
13.206	-89.58	28.66
13.239	-88.74	40.76
13.272	-86.87	33.67
13.306	-86.49	2.549
13.339	-86.70	5.684
13.372	-86.11	17.57
13.406	-85.53	22.21
13.439	-84.63	25.38
13.472	-83.85	23.40
13.505	-83.08	18.15
13.538	-82.64	19.54
13.572	-81.78	17.67
13.605	-81.47	16.36
13.639	-80.68	24.06
13.671	-79.87	19.38
13.705	-79.40	17.80
13.738	-78.68	21.88
13.771	-77.95	17.67
13.804	-77.51	18.24
13.838	-76.73	14.05
13.871	-76.57	16.81
13.904	-75.61	29.93
13.937	-74.58	28.53
13.971	-73.72	30.24
14.004	-72.56	16.33
14.037	-72.63	15.79
14.071	-71.52	28.63
14.104	-70.73	25.30
14.137	-69.83	19.46
14.170	-69.43	17.69
14.204	-68.65	22.14
14.237	-67.96	16.63
14.270	-67.55	16.24
14.303	-66.88	15.42
14.337	-66.52	16.94
14.370	-65.75	17.27
14.403	-65.37	17.17
14.436	-64.61	23.88
14.470	-63.79	20.45
14.503	-63.25	17.92
14.536	-62.59	23.18
14.570	-61.71	26.82
14.603	-60.81	22.91
14.636	-60.18	19.47
14.669	-59.51	22.84
14.703	-58.66	22.40
14.736	-58.02	19.64
14.769	-57.36	23.55
14.802	-56.46	24.56
14.836	-55.72	18.90
14.869	-55.20	17.47
14.902	-54.56	21.23
14.935	-53.79	19.79
14.969	-53.24	18.50
