Lar3
t	x	v_{x}
0.000	-363.9	
0.033	-364.0	-3.031
0.067	-364.1	-0.581
0.100	-364.1	-1.187
0.133	-364.2	-99.03
0.167	-370.7	-10.34
0.200	-364.9	96.20
0.233	-364.3	153.1
0.266	-354.7	160.8
0.299	-353.7	13.78
0.333	-353.8	8.281
0.366	-353.1	12.50
0.399	-353.0	-1.192
0.433	-353.2	234.8
0.466	-337.3	245.7
0.499	-336.9	5.993
0.532	-336.9	15.69
0.566	-335.8	36.27
0.599	-334.5	43.61
0.632	-332.9	35.53
0.665	-332.1	17.42
0.699	-331.8	57.07
0.732	-328.3	61.11
0.765	-327.7	19.24
0.798	-327.0	31.84
0.832	-325.6	30.29
0.865	-325.0	45.41
0.898	-322.6	71.57
0.931	-320.3	75.95
0.965	-317.5	76.23
0.998	-315.2	51.81
1.031	-314.1	57.57
1.065	-311.3	124.9
1.098	-305.8	100.0
1.131	-304.7	53.33
1.165	-302.2	51.67
1.198	-301.3	41.04
1.231	-299.5	54.31
1.264	-297.7	54.19
1.297	-295.9	35.95
1.331	-295.3	51.51
1.364	-292.5	65.94
1.397	-290.9	144.0
1.430	-282.9	130.0
1.464	-282.2	31.14
1.497	-280.8	54.63
1.530	-278.6	49.38
1.563	-277.5	58.31
1.597	-274.7	66.39
1.630	-273.1	117.4
1.663	-266.9	106.3
1.696	-266.0	62.25
1.730	-262.8	65.86
1.763	-261.7	56.69
1.796	-259.0	213.3
1.829	-247.5	173.5
1.863	-247.5	-3.658
1.896	-247.7	-4.045
1.929	-247.7	4.711
1.963	-247.4	51.38
1.996	-244.3	68.87
2.029	-242.8	38.05
2.062	-241.8	222.9
2.096	-227.9	210.3
2.129	-227.8	4.819
2.162	-227.6	2.329
2.195	-227.6	7.941
2.229	-227.1	69.13
2.262	-223.0	62.94
2.295	-222.9	2.793
2.329	-222.8	16.25
2.362	-221.8	50.96
2.395	-219.4	56.35
2.428	-218.0	84.64
2.462	-213.8	84.23
2.495	-212.4	36.14
2.528	-211.4	57.83
2.562	-208.6	57.73
2.595	-207.6	31.06
2.628	-206.5	54.36
2.661	-204.0	166.8
2.694	-195.4	122.5
2.728	-195.8	12.78
2.761	-194.6	45.08
2.794	-192.8	45.95
2.827	-191.5	30.31
2.861	-190.8	37.44
2.894	-189.0	57.75
2.927	-186.9	66.93
2.961	-184.6	74.71
2.994	-182.0	96.92
3.027	-178.1	75.43
3.060	-177.0	38.69
3.094	-175.6	41.87
3.127	-174.2	60.91
3.160	-171.5	65.63
3.193	-169.8	58.48
3.227	-167.6	60.99
3.260	-165.7	59.85
3.293	-163.6	59.47
3.326	-161.8	59.80
3.360	-159.7	49.26
3.393	-158.5	59.48
3.426	-155.7	134.3
3.459	-149.6	103.1
3.493	-148.8	43.78
3.526	-146.7	64.35
3.559	-144.5	52.34
3.593	-143.2	55.60
3.626	-140.8	68.97
3.659	-138.6	53.98
3.692	-137.3	56.56
3.726	-134.8	71.25
3.759	-132.5	60.06
3.792	-130.9	52.80
3.826	-129.0	59.37
3.859	-126.9	60.83
3.892	-125.0	66.79
3.925	-122.5	66.11
3.959	-120.6	58.68
3.992	-118.6	72.51
4.025	-115.7	82.13
4.058	-113.1	73.47
4.092	-110.8	69.10
4.125	-108.5	44.36
4.158	-107.9	17.45
4.191	-107.3	135.8
4.225	-98.87	185.9
4.258	-94.96	70.55
4.291	-94.17	36.70
4.324	-92.52	77.39
4.358	-89.02	54.89
4.391	-88.86	64.43
4.424	-84.74	71.19
4.458	-84.12	128.5
4.491	-76.18	123.5
4.524	-75.91	10.31
4.557	-75.49	20.53
4.590	-74.54	29.73
4.624	-73.51	34.58
4.657	-72.24	52.16
4.690	-70.04	61.96
4.723	-68.13	65.60
4.757	-65.68	83.54
4.790	-62.56	81.70
4.823	-60.25	69.83
4.857	-57.89	52.93
4.890	-56.71	46.80
4.923	-54.79	50.63
4.957	-53.33	70.59
4.990	-50.10	85.43
5.023	-47.69	69.49
5.056	-45.48	60.12
5.089	-43.69	60.49
