small4
t	x	v_{x}
5.655	-243.4	10.82
5.688	-242.7	56.95
5.721	-239.6	51.71
5.755	-239.2	9.648
5.788	-239.0	7.491
5.821	-238.7	5.280
5.854	-238.6	6.013
5.888	-238.3	11.90
5.921	-237.8	15.62
5.954	-237.3	19.14
5.988	-236.5	21.47
6.021	-235.9	17.45
6.054	-235.4	18.02
6.087	-234.7	62.19
6.120	-231.2	56.59
6.154	-230.9	11.91
6.187	-230.5	18.79
6.220	-229.7	17.65
6.253	-229.3	16.21
6.287	-228.6	22.53
6.320	-227.8	18.87
6.353	-227.3	18.60
6.387	-226.5	28.00
6.420	-225.5	24.81
6.453	-224.9	19.50
6.486	-224.2	21.19
6.520	-223.5	22.44
6.553	-222.7	18.76
6.586	-222.2	16.00
6.619	-221.6	23.42
6.653	-220.7	19.91
6.686	-220.3	17.43
6.719	-219.5	12.35
6.753	-219.5	12.32
6.786	-218.7	16.77
6.819	-218.4	17.59
6.852	-217.5	13.57
6.886	-217.4	17.29
6.919	-216.4	29.53
6.952	-215.5	15.51
6.985	-215.3	15.01
7.019	-214.5	15.04
7.052	-214.3	16.65
7.085	-213.4	30.20
7.118	-212.3	30.11
7.152	-211.4	127.4
7.185	-203.9	119.0
7.218	-203.5	3.408
7.252	-203.6	-0.592
7.285	-203.5	0.323
7.318	-203.6	0.704
7.351	-203.5	0.700
7.384	-203.6	-1.578
7.418	-203.6	2.081
7.451	-203.4	1.852
7.484	-203.5	0.971
7.518	-203.4	10.02
7.551	-202.8	14.36
7.584	-202.4	39.41
7.617	-200.2	43.04
7.651	-199.5	33.96
7.684	-197.9	34.86
7.717	-197.2	19.73
7.750	-196.6	20.37
7.784	-195.9	19.40
7.817	-195.3	17.65
7.850	-194.7	16.32
7.883	-194.2	13.01
7.917	-193.8	12.18
7.950	-193.4	17.42
7.983	-192.7	24.38
8.016	-191.8	20.11
8.050	-191.3	17.07
8.083	-190.6	26.59
8.116	-189.6	25.33
8.150	-189.0	16.51
8.183	-188.5	14.74
8.216	-188.0	19.47
8.249	-187.2	23.80
8.283	-186.4	14.70
8.316	-186.2	18.99
8.349	-185.1	26.36
8.383	-184.4	19.19
8.416	-183.9	18.13
8.449	-183.2	14.00
8.482	-182.9	14.07
8.515	-182.3	24.43
8.549	-181.3	34.08
8.582	-180.0	26.79
8.615	-179.5	11.26
8.649	-179.3	13.81
8.682	-178.6	15.47
8.715	-178.2	24.34
8.748	-177.0	28.32
8.782	-176.4	21.06
8.815	-175.6	22.98
8.848	-174.8	20.03
8.881	-174.2	18.80
8.915	-173.6	22.47
8.948	-172.7	20.28
8.981	-172.2	17.97
9.014	-171.6	25.83
9.048	-170.5	24.81
9.081	-169.9	18.03
9.114	-169.3	22.31
9.148	-168.4	22.81
9.181	-167.8	17.28
9.214	-167.3	19.38
9.247	-166.5	24.23
9.280	-165.7	24.69
9.314	-164.9	18.51
9.347	-164.4	13.03
9.380	-164.0	14.77
9.414	-163.4	19.62
9.447	-162.7	51.56
9.480	-160.0	44.48
9.513	-159.7	7.765
9.547	-159.5	29.15
9.580	-157.8	29.27
9.613	-157.5	9.312
9.646	-157.2	25.13
9.680	-155.9	28.92
9.713	-155.3	18.93
9.746	-154.6	14.19
9.779	-154.3	16.87
9.813	-153.5	28.32
9.846	-152.4	23.00
9.879	-152.0	12.46
9.913	-151.6	11.20
9.946	-151.2	14.97
9.979	-150.6	39.79
10.012	-148.6	35.41
10.046	-148.2	13.96
10.079	-147.6	14.70
10.112	-147.3	18.16
10.145	-146.4	26.08
10.179	-145.5	20.40
10.212	-145.1	15.97
10.245	-144.5	16.06
10.278	-144.0	16.27
10.312	-143.4	21.40
10.345	-142.6	23.99
10.378	-141.8	53.45
10.411	-139.0	48.62
10.445	-138.6	9.833
10.478	-138.4	13.47
10.511	-137.7	16.83
10.545	-137.3	15.54
10.578	-136.6	19.45
10.611	-136.0	20.91
10.644	-135.2	22.90
10.678	-134.4	24.99
10.711	-133.6	25.34
10.744	-132.8	20.21
10.777	-132.2	19.22
10.811	-131.5	25.88
10.844	-130.5	27.35
10.877	-129.7	19.70
10.910	-129.2	20.27
10.944	-128.3	24.14
10.977	-127.6	22.00
11.010	-126.8	23.32
11.043	-126.0	23.35
11.077	-125.3	22.00
11.111	-124.6	23.20
11.143	-123.7	22.36
11.177	-123.1	21.03
11.210	-122.3	21.93
11.243	-121.6	22.15
11.276	-120.9	18.76
11.310	-120.4	19.04
11.343	-119.6	21.32
11.376	-119.0	17.79
11.409	-118.4	17.86
11.443	-117.8	16.13
11.476	-117.4	19.78
11.509	-116.5	25.63
11.543	-115.6	23.87
11.576	-114.9	20.17
11.609	-114.3	19.26
11.642	-113.6	22.57
11.676	-112.8	20.26
11.709	-112.2	18.53
11.742	-111.6	22.12
11.775	-110.8	20.79
11.809	-110.2	21.67
11.842	-109.3	23.28
11.875	-108.6	18.40
11.909	-108.1	18.45
11.942	-107.4	20.54
11.975	-106.7	23.21
12.008	-105.9	25.70
12.041	-105.0	23.27
12.075	-104.3	20.67
12.108	-103.7	22.29
12.141	-102.8	20.21
12.175	-102.3	19.41
12.208	-101.5	22.72
12.241	-100.8	20.39
12.274	-100.2	19.28
12.308	-99.51	21.46
12.341	-98.76	23.08
12.374	-97.98	22.96
12.408	-97.23	18.26
12.441	-96.77	15.07
12.474	-96.23	16.42
12.507	-95.67	20.67
12.540	-94.85	23.54
12.574	-94.11	21.96
12.607	-93.39	20.39
12.640	-92.75	21.47
12.674	-91.96	21.32
12.707	-91.33	19.79
12.740	-90.64	21.47
12.774	-89.90	23.54
12.806	-89.08	21.96
12.840	-88.44	21.57
12.874	-87.64	24.54
12.906	-86.81	25.77
12.940	-85.93	26.42
12.973	-85.05	20.60
13.006	-84.56	19.19
13.039	-83.78	24.15
13.073	-82.96	21.38
13.106	-82.35	18.42
13.139	-81.73	16.56
13.172	-81.25	15.09
13.206	-80.73	16.59
13.239	-80.15	21.83
13.272	-79.27	22.52
13.305	-78.65	17.13
13.339	-78.13	20.06
13.372	-77.32	25.55
13.405	-76.44	24.03
13.439	-75.72	23.82
13.472	-74.85	21.14
13.505	-74.31	17.52
13.538	-73.69	20.33
13.572	-72.96	19.11
13.605	-72.41	20.20
13.638	-71.61	23.90
13.671	-70.83	23.04
13.705	-70.09	18.62
13.738	-69.58	19.44
13.771	-68.79	18.90
13.805	-68.33	16.76
13.838	-67.67	22.29
13.871	-66.85	24.69
13.904	-66.03	22.78
13.937	-65.33	20.72
13.971	-64.66	21.84
14.004	-63.88	23.70
14.038	-63.07	22.58
14.071	-62.38	20.35
14.104	-61.73	22.11
14.137	-60.91	20.91
14.170	-60.34	18.43
14.204	-59.68	21.91
14.237	-58.88	19.22
14.270	-58.40	17.63
14.304	-57.70	23.68
14.337	-56.83	22.81
14.370	-56.19	18.80
14.403	-55.57	21.15
14.436	-54.78	23.00
14.470	-54.04	20.86
14.503	-53.39	20.08
14.536	-52.71	22.43
14.569	-51.90	21.46
14.603	-51.28	18.26
14.636	-50.69	21.81
14.669	-49.83	20.48
14.703	-49.32	17.46
14.736	-48.67	21.79
14.769	-47.87	24.94
14.802	-47.01	22.35
14.836	-46.38	18.13
14.869	-45.80	14.46
14.902	-45.42	17.42
14.935	-44.64	25.60
14.969	-43.72	25.02
15.002	-42.98	21.20
