small4
t	x	v_{x}
0.000	-365.7	
0.033	-365.3	17.52
0.067	-364.5	25.51
0.100	-363.6	21.19
0.133	-363.1	19.66
0.166	-362.3	22.38
0.200	-361.6	21.87
0.233	-360.9	18.94
0.266	-360.4	19.36
0.299	-359.6	24.47
0.333	-358.8	21.66
0.366	-358.2	23.22
0.399	-357.2	23.76
0.432	-356.6	20.14
0.466	-355.9	18.01
0.499	-355.4	17.79
0.532	-354.7	11.55
0.565	-354.6	17.94
0.599	-353.5	30.54
0.632	-352.6	25.58
0.665	-351.8	22.73
0.698	-351.1	20.05
0.732	-350.5	20.78
0.765	-349.7	23.66
0.798	-348.9	19.02
0.832	-348.4	19.22
0.865	-347.6	23.96
0.898	-346.8	14.92
0.931	-346.6	19.75
0.965	-345.5	29.82
0.998	-344.6	23.32
1.031	-344.0	21.53
1.064	-343.2	24.06
1.098	-342.3	23.87
1.131	-341.6	18.79
1.164	-341.1	18.72
1.197	-340.4	22.69
1.231	-339.6	24.45
1.264	-338.7	19.87
1.297	-338.3	18.32
1.331	-337.5	23.17
1.364	-336.7	18.29
1.397	-336.3	17.81
1.430	-335.6	23.97
1.464	-334.7	18.86
1.497	-334.3	16.25
1.530	-333.6	23.55
1.563	-332.7	16.76
1.597	-332.5	16.39
1.630	-331.6	28.98
1.663	-330.6	16.73
1.696	-330.5	12.80
1.730	-329.7	28.95
1.763	-328.6	20.23
1.796	-328.4	14.85
1.829	-327.6	26.34
1.863	-326.6	23.89
1.896	-326.0	19.10
1.929	-325.4	21.75
1.963	-324.6	24.42
1.996	-323.7	28.86
2.029	-322.7	18.91
2.062	-322.5	16.73
2.095	-321.5	26.59
2.129	-320.7	27.58
2.162	-319.7	27.94
2.196	-318.9	32.59
2.229	-317.5	31.33
2.262	-316.8	17.18
2.295	-316.4	17.21
2.328	-315.6	23.46
2.362	-314.8	17.53
2.395	-314.5	21.46
2.428	-313.4	28.45
2.461	-312.6	25.97
2.495	-311.7	18.15
2.528	-311.4	15.71
2.561	-310.6	24.21
2.594	-309.8	20.69
2.628	-309.3	16.99
2.661	-308.6	22.51
2.694	-307.8	20.12
2.728	-307.3	17.78
2.761	-306.6	24.40
2.794	-305.7	26.65
2.827	-304.8	20.23
2.861	-304.3	17.55
2.894	-303.6	23.24
2.927	-302.8	24.50
2.960	-302.0	20.34
2.994	-301.4	21.22
3.027	-300.6	26.44
3.060	-299.7	25.11
3.093	-298.9	19.07
3.127	-298.4	20.74
3.160	-297.5	23.54
3.193	-296.8	18.11
3.227	-296.3	19.46
3.260	-295.5	27.60
3.293	-294.5	29.46
3.326	-293.6	18.38
3.360	-293.3	16.77
3.393	-292.4	26.00
3.426	-291.6	26.35
3.460	-290.7	17.66
3.493	-290.4	18.64
3.526	-289.5	28.07
3.559	-288.5	27.18
3.592	-287.7	26.56
3.626	-286.7	19.41
3.659	-286.4	19.14
3.692	-285.5	15.57
3.726	-285.3	16.96
3.759	-284.3	26.82
3.792	-283.5	47.23
3.825	-281.2	38.10
3.858	-281.0	10.30
3.892	-280.5	11.27
3.925	-280.3	12.54
3.958	-279.7	13.28
3.992	-279.4	18.24
4.025	-278.5	28.86
4.058	-277.5	27.04
4.092	-276.7	17.45
4.125	-276.3	17.38
4.158	-275.5	23.91
4.191	-274.7	16.70
4.225	-274.4	17.44
4.258	-273.5	16.17
4.291	-273.3	15.48
4.324	-272.5	24.19
4.358	-271.7	19.44
4.391	-271.2	18.48
4.424	-270.5	24.56
4.457	-269.6	17.75
4.491	-269.3	17.36
4.524	-268.4	26.59
4.557	-267.5	26.63
4.590	-266.7	17.87
4.624	-266.3	17.87
4.657	-265.5	26.06
4.690	-264.6	19.93
4.723	-264.1	19.14
4.757	-263.3	27.53
4.790	-262.3	26.51
4.823	-261.6	20.20
4.856	-261.0	18.68
4.890	-260.3	24.02
4.923	-259.4	20.64
4.956	-259.0	24.02
4.989	-257.8	21.94
5.023	-257.5	17.50
5.056	-256.6	14.00
5.089	-256.6	13.76
5.123	-255.7	18.45
5.156	-255.3	15.25
5.189	-254.7	44.22
5.222	-252.4	43.28
5.256	-251.8	125.2
5.289	-244.1	119.4
5.322	-243.8	7.740
5.355	-243.6	2.684
5.389	-243.7	-1.228
5.422	-243.6	2.271
5.455	-243.5	2.071
5.488	-243.5	0.146
5.522	-243.5	-0.612
5.555	-243.5	1.740
5.588	-243.4	2.188
5.621	-243.4	0.101
