med5
t	x	v_{x}
0.000	-373.0	
0.033	-373.0	-2.251
0.067	-373.2	-2.039
0.100	-373.2	1.410
0.133	-373.1	0.455
0.166	-373.1	-0.265
0.200	-373.1	167.2
0.233	-362.0	172.4
0.266	-361.7	37.67
0.300	-359.5	41.05
0.333	-358.9	7.344
0.366	-359.0	4.234
0.399	-358.6	3.853
0.432	-358.8	12.01
0.466	-357.8	25.15
0.499	-357.1	30.11
0.532	-355.8	47.12
0.566	-354.0	71.61
0.599	-351.1	61.19
0.632	-349.9	29.69
0.665	-349.1	28.99
0.699	-348.0	39.76
0.732	-346.5	49.52
0.765	-344.7	41.35
0.798	-343.7	23.58
0.832	-343.1	28.34
0.865	-341.8	31.02
0.898	-341.0	28.89
0.931	-339.9	43.35
0.965	-338.2	44.28
0.998	-337.0	34.67
1.031	-335.8	29.57
1.064	-335.0	71.72
1.098	-331.1	60.17
1.131	-331.0	18.02
1.164	-329.9	75.78
1.197	-326.0	72.25
1.231	-325.1	19.78
1.264	-324.6	52.62
1.297	-321.6	49.04
1.330	-321.4	4.333
1.364	-321.3	4.344
1.397	-321.1	7.178
1.430	-320.8	11.69
1.464	-320.3	101.6
1.497	-314.0	97.53
1.530	-313.8	4.526
1.563	-313.7	0.949
1.597	-313.8	125.4
1.630	-305.4	130.1
1.663	-305.1	8.616
1.697	-304.8	5.574
1.730	-304.7	9.401
1.763	-304.2	21.52
1.796	-303.3	31.11
1.830	-302.1	118.2
1.863	-295.4	100.0
1.896	-295.5	11.06
1.929	-294.7	65.14
1.963	-291.1	59.19
1.996	-290.7	17.81
2.029	-290.0	31.51
2.062	-288.7	29.30
2.096	-288.0	31.09
2.129	-286.6	31.50
2.162	-285.9	21.03
2.195	-285.2	31.40
2.229	-283.8	30.82
2.262	-283.1	41.36
2.295	-281.1	55.04
2.329	-279.5	33.81
2.362	-278.8	25.31
2.395	-277.8	31.66
2.428	-276.7	26.26
2.462	-276.0	17.24
2.495	-275.6	17.13
2.528	-274.9	22.33
2.561	-274.1	20.49
2.595	-273.5	24.36
2.628	-272.5	40.02
2.661	-270.9	41.87
2.694	-269.7	223.6
2.728	-256.0	211.1
2.761	-255.6	6.278
2.794	-255.6	1.075
2.827	-255.6	2.583
2.861	-255.4	195.4
2.894	-242.6	206.2
2.927	-241.7	8.898
2.961	-242.0	2.810
2.994	-241.5	9.668
3.027	-241.4	-1.115E-2
3.060	-241.5	6.702E-2
