med1
t	x	v_{x}
6.820	-149.2	41.71
6.854	-148.0	45.64
6.887	-146.2	53.06
6.920	-144.5	46.59
6.953	-143.1	35.86
6.987	-142.1	33.60
7.020	-140.9	42.80
7.053	-139.2	43.19
7.086	-138.0	45.11
7.120	-136.2	45.85
7.153	-134.9	35.11
7.186	-133.9	33.97
7.220	-132.7	41.54
7.253	-131.1	46.26
7.286	-129.6	35.17
7.319	-128.8	37.05
7.352	-127.1	50.40
7.386	-125.4	48.81
7.419	-123.9	43.71
7.452	-122.5	42.36
7.486	-121.1	38.26
7.519	-120.0	32.62
7.552	-118.9	43.31
7.585	-117.1	44.31
7.619	-116.0	33.64
7.652	-114.9	38.06
7.685	-113.4	45.18
7.718	-111.9	49.33
7.752	-110.1	44.14
7.785	-108.9	33.19
7.818	-107.9	39.66
7.851	-106.3	43.18
7.885	-105.1	36.83
7.918	-103.8	42.10
7.951	-102.3	43.73
7.984	-100.9	45.07
8.018	-99.26	46.95
8.051	-97.79	42.58
8.084	-96.43	40.52
8.118	-95.10	37.95
8.151	-93.90	44.08
8.184	-92.17	51.15
8.217	-90.50	41.54
8.251	-89.40	37.01
8.284	-88.04	37.42
8.317	-86.91	43.10
8.351	-85.17	43.32
8.384	-84.03	32.39
8.417	-83.02	31.78
8.450	-81.92	42.66
8.483	-80.18	49.66
8.517	-78.61	45.42
8.550	-77.16	39.89
8.583	-75.95	38.64
8.617	-74.58	44.88
8.650	-72.97	45.19
8.683	-71.58	42.23
8.716	-70.17	38.18
8.749	-69.04	40.49
8.783	-67.47	46.57
8.816	-65.94	38.54
8.849	-64.91	36.30
8.883	-63.53	40.31
8.916	-62.22	41.02
8.949	-60.80	35.53
8.982	-59.86	38.32
9.016	-58.25	43.68
9.049	-56.96	39.57
9.082	-55.61	43.33
9.116	-54.07	42.39
9.149	-52.79	41.77
9.182	-51.29	46.09
9.215	-49.72	43.68
9.249	-48.39	43.21
9.282	-46.85	45.89
9.315	-45.34	51.30
9.348	-43.44	49.17
9.382	-42.07	35.92
9.415	-41.05	43.03
9.448	-39.20	54.66
9.482	-37.41	47.46
9.515	-36.05	40.35
9.548	-34.73	39.89
9.581	-33.39	38.82
9.615	-32.14	35.55
9.648	-31.03	39.46
9.681	-29.52	43.58
9.714	-28.13	37.01
9.747	-27.06	41.74
9.781	-25.35	45.01
9.814	-24.06	34.16
9.848	-23.06	33.62
9.881	-21.83	36.75
9.914	-20.63	40.97
9.947	-19.11	38.98
9.981	-18.02	40.54
10.014	-16.41	41.69
10.047	-15.27	36.27
10.080	-13.99	43.02
10.113	-12.41	41.72
10.147	-11.22	36.37
10.180	-9.989	36.43
10.213	-8.795	37.86
10.246	-7.471	41.13
10.280	-6.059	36.86
10.313	-5.020	33.99
10.346	-3.791	42.16
10.379	-2.212	42.70
10.413	-0.957	37.92
10.446	0.311	42.05
10.479	1.841	39.08
