med1
t	x	v_{x}
0.467	-413.3	0.274
0.500	-413.2	-4.989E-2
0.533	-413.3	5.071
0.567	-412.9	94.57
0.600	-407.0	89.50
0.633	-406.9	2.803
0.666	-406.8	1.641
0.700	-406.8	13.14
0.733	-405.9	51.82
0.766	-403.4	51.58
0.800	-402.5	23.74
0.833	-401.8	37.45
0.866	-400.0	43.20
0.899	-398.9	30.04
0.933	-398.0	31.89
0.966	-396.8	45.01
0.999	-395.0	42.58
1.032	-394.0	38.10
1.066	-392.5	44.67
1.099	-391.0	38.56
1.132	-389.9	37.42
1.165	-388.5	40.79
1.199	-387.2	34.63
1.232	-386.2	27.66
1.265	-385.4	29.88
1.299	-384.2	185.6
1.332	-373.0	165.6
1.365	-373.2	-0.208
1.398	-373.0	2.377
1.431	-373.1	0.990
1.465	-373.0	2.756
1.498	-372.9	11.49
1.531	-372.2	21.79
1.565	-371.4	39.61
1.598	-369.6	46.74
1.631	-368.3	34.88
1.664	-367.2	114.1
1.698	-360.7	105.0
1.731	-360.3	11.93
1.764	-359.9	12.57
1.797	-359.4	16.66
1.831	-358.8	19.48
1.864	-358.1	43.30
1.897	-356.0	43.21
1.931	-355.2	28.13
1.964	-354.1	42.74
1.997	-352.4	44.10
2.030	-351.2	40.22
2.064	-349.7	43.18
2.097	-348.3	35.50
2.130	-347.4	34.08
2.163	-346.0	38.68
2.197	-344.8	40.15
2.230	-343.3	44.18
2.263	-341.9	117.8
2.296	-335.5	98.87
2.330	-335.3	19.98
2.363	-334.2	24.46
2.396	-333.7	25.86
2.429	-332.5	37.25
2.463	-331.2	38.75
2.496	-329.9	25.28
2.529	-329.5	23.03
2.563	-328.3	34.62
2.596	-327.2	143.0
2.629	-318.8	135.6
2.662	-318.2	28.23
2.696	-317.0	14.20
2.729	-317.2	12.21
2.762	-316.1	41.28
2.795	-314.5	44.72
2.829	-313.2	38.00
2.862	-311.9	17.82
2.895	-312.0	25.38
2.928	-310.3	44.95
2.962	-309.0	20.59
2.995	-308.9	20.36
3.028	-307.6	40.41
3.062	-306.2	46.65
3.095	-304.5	33.13
3.128	-304.0	18.89
3.161	-303.3	85.17
3.195	-298.3	89.57
3.228	-297.3	17.82
3.261	-297.1	19.36
3.294	-296.0	24.61
3.328	-295.5	29.64
3.361	-294.1	32.79
3.394	-293.3	26.25
3.427	-292.3	29.99
3.461	-291.3	31.61
3.494	-290.2	35.00
3.527	-289.0	43.45
3.561	-287.3	132.0
3.594	-280.2	116.0
3.627	-279.6	27.36
3.660	-278.4	18.10
3.694	-278.4	18.11
3.727	-277.2	21.25
3.760	-277.0	24.00
3.793	-275.6	44.78
3.827	-274.0	41.97
3.860	-272.8	40.72
3.893	-271.3	43.29
3.926	-269.9	45.16
3.960	-268.3	43.54
3.993	-267.0	42.59
4.026	-265.5	43.06
4.059	-264.2	40.21
4.093	-262.8	28.85
4.126	-262.2	29.33
4.159	-260.8	33.27
4.192	-260.0	37.37
4.226	-258.3	45.07
4.259	-257.0	33.30
4.292	-256.1	27.86
4.325	-255.2	153.0
4.359	-245.9	137.9
4.392	-246.0	8.880
4.425	-245.3	24.69
4.459	-244.4	18.75
4.492	-244.1	19.12
4.525	-243.1	23.42
4.559	-242.5	26.71
4.592	-241.3	21.21
4.625	-241.1	7.251
4.658	-240.8	219.1
4.691	-226.5	219.5
4.725	-226.2	7.806
4.758	-226.0	4.939
4.791	-225.9	6.918
4.824	-225.6	13.70
4.858	-225.0	20.95
4.891	-224.2	11.15
4.924	-224.2	12.97
4.958	-223.3	15.33
4.991	-223.2	12.31
5.024	-222.5	32.17
5.057	-221.1	29.32
5.091	-220.5	28.56
5.124	-219.2	32.46
5.157	-218.4	28.57
5.190	-217.3	35.47
5.224	-216.0	49.18
5.257	-214.0	51.88
5.290	-212.6	45.43
5.323	-211.0	48.04
5.357	-209.4	43.41
5.390	-208.1	33.07
5.423	-207.2	32.10
5.457	-206.0	32.14
5.490	-205.0	44.65
5.523	-203.0	45.95
5.556	-202.0	31.16
5.590	-200.9	30.33
5.623	-200.0	45.05
5.656	-197.9	45.72
5.689	-196.9	44.10
5.723	-195.0	43.11
5.756	-194.0	30.48
5.789	-193.0	45.88
5.822	-191.0	44.92
5.856	-190.0	30.55
5.889	-189.0	31.24
5.922	-187.9	43.05
5.955	-186.1	43.51
5.989	-185.0	32.11
6.022	-184.0	41.19
6.055	-182.3	46.21
6.088	-180.9	42.97
6.122	-179.4	45.25
6.155	-177.9	49.78
6.188	-176.1	43.46
6.222	-175.0	32.97
6.255	-173.9	40.30
6.288	-172.3	45.66
6.321	-170.9	43.48
6.355	-169.4	44.39
6.388	-167.9	48.00
6.421	-166.2	49.08
6.454	-164.6	43.98
6.488	-163.3	40.47
6.521	-161.9	40.71
6.554	-160.6	41.63
6.587	-159.2	41.94
6.621	-157.8	42.68
6.654	-156.3	43.57
6.687	-154.9	37.58
6.720	-153.8	37.00
6.754	-152.4	46.15
6.787	-150.8	48.19
