med3
t	x	v_{x}
0.000	-325.5	
0.054	-324.5	22.67
0.087	-323.5	20.98
0.120	-323.1	18.16
0.154	-322.3	27.70
0.187	-321.3	37.48
0.220	-319.8	53.33
0.253	-317.7	46.96
0.286	-316.7	37.24
0.320	-315.3	32.63
0.353	-314.5	20.75
0.386	-313.9	9.871
0.420	-313.9	3.752
0.453	-313.6	4.754
0.486	-313.5	2.142
0.519	-313.5	3.926
0.553	-313.3	6.058E-2
0.586	-313.5	2.359
0.619	-313.1	4.385
0.652	-313.2	2.142
0.686	-313.0	11.03
0.719	-312.5	21.59
0.752	-311.5	40.52
0.786	-309.7	43.69
0.819	-308.6	60.75
0.852	-305.7	60.07
0.885	-304.6	35.40
0.919	-303.4	40.41
0.952	-302.0	33.28
0.985	-301.1	63.09
1.018	-297.8	61.27
1.052	-297.1	20.73
1.085	-296.4	31.22
1.118	-295.0	35.96
1.151	-294.0	29.62
1.185	-293.0	33.64
1.218	-291.7	45.08
1.251	-290.0	40.33
1.284	-289.1	126.1
1.318	-281.6	116.7
1.351	-281.3	3.517
1.384	-281.4	3.587
1.417	-281.1	16.26
1.451	-280.3	79.72
1.484	-275.8	72.59
1.517	-275.5	3.792
1.550	-275.5	6.373
1.584	-275.1	18.45
1.617	-274.3	25.92
1.650	-273.3	38.52
1.684	-271.7	32.83
1.717	-271.1	25.68
1.750	-270.0	46.65
1.783	-268.0	52.48
1.817	-266.5	68.14
1.850	-263.5	61.06
1.883	-262.5	27.99
1.916	-261.7	21.91
1.950	-261.0	24.15
1.983	-260.0	41.72
2.016	-258.2	43.09
2.050	-257.2	32.00
2.083	-256.1	148.4
2.116	-247.3	133.2
2.149	-247.2	17.52
2.183	-246.1	25.64
2.216	-245.5	26.68
2.249	-244.4	27.92
2.282	-243.7	25.36
2.316	-242.7	26.89
2.349	-241.9	26.33
2.382	-240.9	211.8
2.415	-227.8	207.0
2.449	-227.2	3.697
2.482	-227.6	-3.319
2.515	-227.4	2.913
2.548	-227.4	2.480
2.582	-227.2	8.967
2.615	-226.8	12.82
2.648	-226.4	19.43
2.682	-225.5	30.87
2.715	-224.3	28.97
2.748	-223.5	31.93
2.781	-222.2	28.08
2.815	-221.7	18.01
2.848	-221.0	20.92
2.881	-220.3	27.47
2.914	-219.2	31.71
2.948	-218.2	39.61
2.981	-216.5	32.50
3.014	-216.0	30.47
3.047	-214.5	41.23
3.081	-213.3	36.37
3.114	-212.1	45.22
3.147	-210.3	44.90
3.181	-209.1	40.88
3.214	-207.5	45.41
3.247	-206.1	38.00
3.280	-205.0	41.47
3.314	-203.3	50.25
3.347	-201.7	43.31
3.380	-200.5	38.40
3.413	-199.1	36.89
3.447	-198.0	37.82
3.480	-196.6	52.04
3.513	-194.5	52.62
3.546	-193.1	43.38
3.580	-191.7	37.68
3.613	-190.6	35.05
3.646	-189.3	48.52
3.680	-187.4	47.00
3.713	-186.2	52.90
3.746	-183.9	54.48
3.779	-182.6	42.22
3.812	-181.0	38.46
3.846	-180.0	33.53
3.879	-178.8	40.09
3.912	-177.3	38.83
3.946	-176.2	32.29
3.979	-175.2	59.60
4.012	-172.3	46.92
4.045	-172.1	24.32
4.079	-170.7	37.80
4.112	-169.6	37.81
4.145	-168.1	42.70
4.178	-166.7	46.22
4.212	-165.1	36.05
4.245	-164.3	29.64
4.278	-163.1	43.44
4.312	-161.4	59.32
4.345	-159.1	60.29
4.378	-157.4	41.40
4.411	-156.4	48.34
4.445	-154.2	53.25
4.478	-152.8	42.49
4.511	-151.4	36.74
4.544	-150.4	46.35
4.578	-148.3	47.65
4.611	-147.2	39.10
4.644	-145.7	39.39
4.678	-144.6	30.05
4.711	-143.7	45.31
4.744	-141.6	39.53
4.777	-141.1	21.78
4.811	-140.1	37.89
4.844	-138.5	50.88
4.877	-136.8	46.70
4.910	-135.4	46.70
4.944	-133.7	50.81
4.977	-132.1	36.95
5.010	-131.2	39.98
5.044	-129.4	41.01
5.077	-128.5	34.13
5.110	-127.1	41.58
5.143	-125.7	37.93
5.177	-124.6	32.20
5.210	-123.6	34.25
5.243	-122.3	43.87
5.276	-120.6	44.19
5.309	-119.4	46.53
5.343	-117.6	49.61
5.376	-116.1	38.12
5.409	-115.0	43.81
5.442	-113.2	39.10
5.476	-112.4	28.81
5.509	-111.3	45.62
5.542	-109.4	52.60
5.576	-107.8	41.54
5.609	-106.6	39.40
5.642	-105.1	49.98
5.675	-103.3	49.74
5.709	-101.8	46.38
5.742	-100.2	46.54
5.775	-98.72	44.45
5.809	-97.24	39.79
5.842	-96.08	34.46
5.875	-94.95	39.66
5.908	-93.44	32.76
5.941	-92.77	27.74
5.975	-91.60	44.65
6.008	-89.80	50.32
6.041	-88.25	48.08
6.075	-86.60	43.43
6.108	-85.36	37.70
6.141	-84.10	88.77
6.174	-79.46	86.56
6.208	-78.34	29.86
6.241	-77.47	28.61
6.274	-76.43	31.40
6.307	-75.38	31.24
6.341	-74.35	32.09
6.374	-73.24	36.79
6.407	-71.91	40.35
6.441	-70.56	39.64
6.474	-69.27	41.60
6.507	-67.80	46.42
6.540	-66.17	49.86
6.573	-64.48	42.97
6.607	-63.32	30.72
6.640	-62.43	30.88
6.673	-61.27	40.58
6.707	-59.74	41.78
6.740	-58.48	37.61
6.773	-57.24	40.79
6.806	-55.78	45.23
6.840	-54.23	51.25
6.873	-52.37	46.23
6.906	-51.15	31.60
6.939	-50.26	35.06
6.973	-48.82	44.81
7.006	-47.28	35.99
7.039	-46.43	34.32
7.072	-45.00	45.16
7.106	-43.42	48.68
7.139	-41.76	44.03
7.173	-40.48	57.41
7.205	-37.94	57.86
7.239	-36.65	47.60
7.272	-34.77	46.84
7.305	-33.53	38.69
7.339	-32.20	32.15
7.372	-31.38	33.41
7.405	-29.98	40.15
7.438	-28.72	40.82
7.472	-27.26	51.91
7.505	-25.27	41.90
7.538	-24.47	29.29
7.572	-23.32	31.68
7.605	-22.36	27.15
7.638	-21.51	32.18
7.671	-20.23	34.22
7.704	-19.25	37.85
7.738	-17.71	43.85
7.771	-16.32	33.18
7.804	-15.50	34.47
7.837	-14.03	41.24
7.871	-12.76	38.74
7.904	-11.45	39.62
7.937	-10.12	46.99
7.971	-8.328	44.69
8.004	-7.151	30.37
8.037	-6.308	30.96
8.070	-5.091	37.83
8.104	-3.792	38.71
8.137	-2.517	33.85
8.170	-1.533	31.01
8.203	-0.452	31.94
8.237	0.587	30.10
8.270	1.550	36.13
8.303	2.990	37.58
8.337	4.054	38.27
8.370	5.537	39.93
8.403	6.703	35.66
8.436	7.916	36.92
8.470	9.163	42.53
8.503	10.74	37.61
8.536	11.66	29.68
8.569	12.71	33.03
8.603	13.86	36.68
8.636	15.15	41.49
8.669	16.62	35.19
8.702	17.49	29.32
8.736	18.57	33.50
8.769	19.72	36.02
8.802	20.97	42.01
8.836	22.53	38.89
8.869	23.56	28.36
8.902	24.42	32.07
8.935	25.69	31.60
8.969	26.51	42.68
9.002	28.53	43.09
9.035	29.37	15.75
9.068	29.57	17.06
9.101	30.51	30.88
9.135	31.63	28.19
9.168	32.38	16.56
9.201	32.73	14.24
9.235	33.33	25.03
9.268	34.40	30.86
9.301	35.38	21.09
9.334	35.80	17.69
9.368	36.56	12.61
9.401	36.64	9.491
9.434	37.19	22.24
9.467	38.12	19.70
9.501	38.50	23.47
9.534	39.68	17.62
9.567	39.67	9.977
9.600	40.34	28.58
9.634	41.57	18.04
9.667	41.54	4.727
9.700	41.89	14.55
9.734	42.51	17.53
9.767	43.06	17.52
