small1
t	x	v_{x}
4.457	-305.9	14.33
4.491	-305.2	22.57
4.524	-304.4	19.42
4.557	-303.9	18.62
4.590	-303.1	23.74
4.624	-302.3	20.12
4.657	-301.8	16.14
4.690	-301.2	19.44
4.723	-300.5	18.08
4.757	-300.0	19.45
4.790	-299.2	24.24
4.823	-298.4	21.15
4.857	-297.8	19.33
4.890	-297.1	22.77
4.923	-296.3	20.94
4.956	-295.7	16.99
4.990	-295.2	19.86
5.023	-294.4	20.11
5.056	-293.8	19.09
5.089	-293.1	22.29
5.123	-292.3	26.76
5.156	-291.3	19.45
5.190	-291.0	16.65
5.222	-290.2	26.08
5.256	-289.3	18.12
5.289	-289.0	16.45
5.322	-288.2	26.73
5.355	-287.3	19.51
5.389	-286.9	15.71
5.422	-286.2	26.77
5.455	-285.1	18.38
5.488	-285.0	13.69
5.522	-284.2	23.70
5.555	-283.4	21.03
5.589	-282.8	19.02
5.622	-282.2	20.56
5.655	-281.5	18.93
5.688	-280.9	20.30
5.721	-280.1	24.36
5.755	-279.3	24.56
5.788	-278.5	21.28
5.821	-277.9	18.58
5.855	-277.2	19.63
5.888	-276.6	18.40
5.921	-276.0	21.04
5.954	-275.2	25.38
5.987	-274.3	17.41
6.021	-274.0	15.85
6.054	-273.3	20.30
6.088	-272.6	20.31
6.121	-271.9	21.33
6.154	-271.2	22.28
6.187	-270.4	21.35
6.220	-269.8	19.23
6.254	-269.2	19.11
6.287	-268.5	20.20
6.320	-267.8	21.00
6.353	-267.1	21.74
6.387	-266.4	29.88
6.420	-265.2	30.43
6.453	-264.4	20.01
6.486	-263.8	18.27
6.520	-263.1	21.14
6.553	-262.4	17.07
6.586	-262.0	17.16
6.620	-261.3	26.94
6.653	-260.2	19.18
6.686	-260.0	14.48
6.719	-259.2	19.16
6.753	-258.7	17.04
6.786	-258.1	20.56
6.819	-257.4	18.60
6.852	-256.9	18.36
6.886	-256.1	24.11
6.919	-255.3	25.27
6.952	-254.5	18.21
6.986	-254.1	18.70
7.019	-253.2	24.47
7.052	-252.4	23.25
7.085	-251.7	20.44
7.118	-251.1	21.24
7.152	-250.2	25.43
7.185	-249.4	30.12
7.218	-248.2	22.09
7.251	-247.9	15.47
7.285	-247.2	18.44
7.318	-246.7	17.86
7.351	-246.0	19.50
7.385	-245.4	26.73
7.418	-244.2	19.63
7.451	-244.1	12.80
7.484	-243.4	17.02
7.518	-242.9	18.45
7.551	-242.2	15.49
7.584	-241.9	15.04
7.617	-241.2	23.71
7.651	-240.3	23.65
7.684	-239.6	20.58
7.717	-239.0	20.52
7.750	-238.2	25.51
7.784	-237.3	17.34
7.817	-237.1	14.18
7.850	-236.3	17.85
7.884	-235.9	17.57
7.917	-235.2	23.47
7.950	-234.3	22.69
7.983	-233.6	19.09
8.017	-233.1	22.31
8.050	-232.2	26.64
8.083	-231.3	26.85
8.116	-230.4	18.77
8.150	-230.0	17.19
8.183	-229.2	18.55
8.216	-228.8	16.42
8.249	-228.1	21.12
8.283	-227.4	18.97
8.316	-226.9	18.37
8.349	-226.2	21.29
8.383	-225.5	17.76
8.416	-225.0	15.99
8.449	-224.4	16.35
8.482	-223.9	18.05
8.516	-223.2	19.53
8.549	-222.6	18.19
8.582	-222.0	20.63
8.615	-221.2	21.49
8.649	-220.6	19.66
8.682	-219.9	21.77
8.715	-219.1	23.37
8.748	-218.4	17.36
8.782	-218.0	17.17
8.815	-217.2	20.93
8.848	-216.6	20.35
8.881	-215.9	20.98
8.915	-215.2	22.20
8.948	-214.4	19.57
8.981	-213.9	19.36
9.014	-213.1	22.31
9.048	-212.4	18.54
9.081	-211.9	18.74
9.114	-211.1	21.03
9.148	-210.5	19.01
9.181	-209.9	20.61
9.214	-209.1	24.19
9.247	-208.3	18.47
9.281	-207.9	16.94
9.314	-207.1	24.11
9.347	-206.3	19.84
9.380	-205.8	17.63
9.414	-205.1	23.54
9.447	-204.2	22.21
9.480	-203.6	18.13
9.513	-203.0	21.14
9.547	-202.2	21.44
9.580	-201.6	18.36
9.613	-201.0	21.64
9.646	-200.2	24.88
9.680	-199.3	18.67
9.713	-198.9	17.63
9.746	-198.2	23.93
9.779	-197.3	20.16
9.813	-196.8	18.17
9.846	-196.1	20.52
9.879	-195.5	19.07
9.913	-194.9	19.27
9.946	-194.2	22.22
9.979	-193.4	20.54
10.012	-192.8	18.57
10.046	-192.2	21.41
10.079	-191.4	20.62
10.112	-190.8	18.70
10.145	-190.1	21.25
10.179	-189.4	22.92
10.212	-188.6	21.31
10.245	-188.0	20.73
10.279	-187.2	23.82
10.312	-186.4	18.34
10.345	-186.0	17.75
10.378	-185.2	17.17
10.412	-184.9	15.69
10.445	-184.1	22.03
10.478	-183.4	17.82
10.511	-183.0	19.20
10.544	-182.1	25.19
10.578	-181.3	18.42
10.611	-180.9	17.64
10.644	-180.1	25.56
10.678	-179.2	25.29
10.711	-178.4	17.83
10.744	-178.0	18.17
10.777	-177.2	26.52
10.811	-176.3	19.65
10.844	-175.9	15.92
10.877	-175.2	23.68
10.910	-174.3	19.77
10.944	-173.9	17.94
10.977	-173.1	22.60
11.010	-172.4	20.00
11.044	-171.8	19.60
11.077	-171.1	22.93
11.110	-170.3	16.99
11.143	-169.9	17.11
11.177	-169.1	23.57
11.210	-168.4	16.32
11.243	-168.1	9.187
11.276	-167.8	11.23
11.310	-167.3	11.81
11.343	-167.0	15.15
11.376	-166.3	22.90
11.409	-165.5	28.95
11.443	-164.4	22.73
11.476	-164.0	18.85
11.509	-163.1	24.79
11.543	-162.3	17.74
11.576	-161.9	16.03
11.609	-161.2	19.00
11.643	-160.7	16.50
11.676	-160.1	21.20
11.709	-159.3	26.00
11.742	-158.4	21.94
11.775	-157.8	18.44
11.809	-157.2	14.23
11.842	-156.9	16.72
11.876	-156.1	23.55
11.908	-155.3	14.55
11.942	-155.1	17.02
11.975	-154.2	30.93
12.008	-153.0	29.52
12.041	-152.2	18.40
12.075	-151.8	17.50
12.108	-151.0	24.63
12.141	-150.2	27.16
12.175	-149.2	18.74
12.208	-148.9	15.35
12.241	-148.2	25.43
12.274	-147.2	17.87
12.308	-147.0	15.53
12.341	-146.2	26.96
12.374	-145.2	18.20
12.407	-145.0	16.23
12.441	-144.1	26.71
12.474	-143.2	16.58
12.507	-143.0	13.34
12.541	-142.3	14.32
12.574	-142.1	6.528
12.607	-141.9	13.86
12.640	-141.2	23.48
12.673	-140.3	25.48
12.707	-139.5	22.18
12.740	-138.9	19.89
12.773	-138.2	23.65
12.807	-137.3	17.76
12.840	-137.0	16.28
12.873	-136.2	16.11
12.906	-135.9	15.44
12.940	-135.2	15.46
12.973	-134.9	10.57
13.006	-134.5	24.84
13.039	-133.2	34.46
13.073	-132.2	30.41
13.106	-131.2	29.36
13.139	-130.2	30.04
13.172	-129.2	18.81
13.206	-129.0	14.00
13.239	-128.3	14.96
13.272	-128.0	15.23
13.305	-127.3	14.81
13.339	-127.0	16.31
13.372	-126.2	14.69
13.405	-126.0	15.18
13.439	-125.2	15.25
13.472	-125.0	14.91
13.505	-124.2	26.95
13.538	-123.2	16.81
13.572	-123.0	16.39
13.605	-122.1	27.24
13.638	-121.2	17.36
13.671	-121.0	16.19
13.705	-120.2	24.75
13.738	-119.3	15.66
13.771	-119.1	3.343
13.804	-119.1	12.67
13.838	-118.3	16.42
13.871	-118.0	17.04
13.904	-117.1	27.58
13.938	-116.2	16.64
13.971	-116.0	13.73
14.004	-115.3	28.91
14.037	-114.1	46.79
14.071	-112.1	45.21
14.104	-111.1	43.89
14.137	-109.2	44.75
14.170	-108.1	30.82
14.204	-107.2	30.20
14.237	-106.1	28.03
14.270	-105.3	14.43
14.303	-105.2	2.642
14.337	-105.1	2.069
14.370	-105.0	15.00
14.404	-104.1	14.21
14.436	-104.1	13.77
14.470	-103.2	30.10
14.503	-102.1	46.61
14.536	-100.1	45.65
14.570	-99.04	42.67
14.603	-97.29	42.29
14.636	-96.22	30.81
14.669	-95.23	16.84
14.703	-95.10	16.42
14.736	-94.14	15.23
14.769	-94.09	16.22
14.802	-93.06	28.99
14.836	-92.16	17.83
14.869	-91.88	15.27
14.902	-91.15	23.98
14.935	-90.28	16.35
14.969	-90.06	18.65
15.002	-89.04	28.08
15.035	-88.19	26.67
