small1
t	x	v_{x}
0.000	-393.1	
0.033	-393.0	14.86
0.067	-392.2	15.53
0.100	-391.9	11.85
0.133	-391.4	17.00
0.166	-390.8	15.92
0.200	-390.3	16.24
0.233	-389.7	19.23
0.266	-389.0	15.92
0.299	-388.6	15.61
0.333	-388.0	16.55
0.366	-387.5	16.19
0.399	-386.9	18.44
0.432	-386.3	16.30
0.466	-385.8	17.70
0.499	-385.1	22.78
0.532	-384.3	20.82
0.565	-383.8	18.75
0.599	-383.1	19.13
0.632	-382.5	17.81
0.665	-381.9	18.42
0.699	-381.3	14.84
0.732	-380.9	17.78
0.765	-380.1	22.08
0.798	-379.4	21.37
0.832	-378.7	19.57
0.865	-378.1	15.11
0.898	-377.7	16.33
0.931	-377.0	20.24
0.965	-376.3	17.87
0.998	-375.8	18.19
1.031	-375.1	24.65
1.065	-374.2	29.88
1.098	-373.1	30.02
1.131	-372.2	22.79
1.164	-371.6	19.19
1.197	-370.9	19.39
1.231	-370.3	18.08
1.264	-369.7	18.10
1.297	-369.1	21.21
1.331	-368.3	23.78
1.364	-367.5	22.96
1.397	-366.8	20.60
1.430	-366.1	19.20
1.464	-365.5	17.64
1.497	-365.0	19.94
1.530	-364.2	24.08
1.563	-363.4	19.43
1.597	-362.9	17.35
1.630	-362.2	17.26
1.663	-361.7	15.53
1.697	-361.2	18.95
1.730	-360.5	20.13
1.763	-359.8	21.35
1.796	-359.1	16.37
1.830	-358.8	13.95
1.863	-358.1	18.09
1.896	-357.5	18.14
1.929	-356.9	16.94
1.963	-356.4	16.72
1.996	-355.8	16.94
2.029	-355.3	17.92
2.062	-354.6	20.00
2.096	-354.0	20.66
2.129	-353.3	24.86
2.162	-352.3	20.17
2.195	-351.9	17.00
2.229	-351.2	19.46
2.262	-350.6	17.47
2.295	-350.0	19.83
2.329	-349.3	22.13
2.362	-348.5	19.95
2.395	-348.0	20.09
2.428	-347.2	25.27
2.462	-346.3	19.23
2.495	-345.9	15.76
2.528	-345.2	21.34
2.561	-344.5	20.48
2.595	-343.9	21.01
2.628	-343.1	22.53
2.661	-342.4	19.88
2.694	-341.8	18.60
2.728	-341.1	19.73
2.761	-340.5	17.59
2.794	-340.0	18.69
2.827	-339.2	22.53
2.861	-338.5	20.02
2.894	-337.9	19.41
2.927	-337.2	22.72
2.961	-336.4	21.89
2.994	-335.7	18.90
3.027	-335.1	18.98
3.060	-334.5	20.05
3.094	-333.8	19.36
3.127	-333.2	19.09
3.160	-332.5	19.16
3.193	-331.9	18.97
3.227	-331.3	16.11
3.260	-330.8	17.33
3.293	-330.1	22.15
3.326	-329.4	19.92
3.360	-328.8	19.25
3.393	-328.1	22.50
3.426	-327.3	24.31
3.459	-326.5	25.41
3.493	-325.6	21.15
3.526	-325.1	20.71
3.559	-324.2	26.51
3.592	-323.3	17.94
3.626	-323.0	15.48
3.659	-322.3	26.11
3.692	-321.3	18.40
3.726	-321.0	22.04
3.759	-319.8	27.13
3.792	-319.2	13.53
3.825	-318.9	15.25
3.859	-318.2	23.80
3.892	-317.3	18.10
3.925	-317.0	17.75
3.959	-316.2	26.46
3.992	-315.2	19.45
4.025	-314.9	17.42
4.058	-314.1	23.88
4.091	-313.3	28.24
4.125	-312.2	18.43
4.158	-312.1	17.07
4.192	-311.1	28.39
4.224	-310.2	24.14
4.258	-309.5	18.27
4.291	-308.9	18.99
4.324	-308.2	14.18
4.358	-308.0	14.80
4.391	-307.2	28.36
4.424	-306.1	20.14
